semester,subject,credits,teaching_hours,subject_type
1,Αγγλική Τεχνική Ορολογία,3.0,2,Υ
1,Διακριτά Μαθηματικά,6.0,4,Υ
1,Εισαγωγή στον προγραμματισμό με C++,6.0,5,Υ
1,Θεωρίες Μάθησης και Μεικτή Μάθηση,5.0,4,Υ
1,Μαθηματικά Ι,6.0,4,Υ
1,Ψηφιακή Σχεδίαση,7.0,4,Υ
2,Αλγόριθμοι και Δομές Δεδομένων,5.0,3,Υ
2,Εισαγωγή στην Java,6.0,3,Υ
2,Εισαγωγή στις Βάσεις Δεδομένων,6.0,5,Υ
2,Εκπαιδευτική Ψυχολογία,5.0,3,Υ
2,Μαθηματικά ΙΙ,6.0,4,Υ
2,Οργάνωση Υπολογιστών,7.0,4,Υ
3,Αντικειμενοστραφής Προγραμματισμός,6.0,4,Υ
3,Επιστημονικός Υπολογισμός,4.0,3,Υ
3,Εφαρμοσμένα Μαθηματικά,4.0,3,Υ
3,Λειτουργικά Συστήματα,6.0,4,Υ
3,Μεθοδολογία Εκπαιδευτικής Έρευνας,5.0,3,Υ
3,Μεταγλωττιστές,5.0,3,Υ
3,Προηγμένες Εφαρμογές Ψηφιακής Σχεδίασης,5.0,3,Υ
4,Αναλογικά Ηλεκτρονικά,6.0,4,Υ
4,Προγραμματισμός Διεπαφής Χρήστη,5.0,3,Υ
4,Προηγμένα Θέματα Προγραμματισμού,6.0,4,Υ
4,Στατιστική και Πιθανότητες,3.0,2,Υ
4,Τεχνητή Νοημοσύνη,5.0,3,Υ
4,ΤΠΕ στην Εκπαίδευση,5.0,4,Υ
5,Αναγνώριση Προτύπων,5.0,3,Υ
5,Δίκτυα Υπολογιστών,5.0,3,Υ
5,Εισαγωγή στην Υπολογιστική Νοημοσύνη,5.0,3,Υ
5,Διδακτική και Εφαρμογές στην Πληροφορική,5.0,4,Υ
5,Τεχνολογία Λογισμικού I,5.0,3,Υ
5,Σήματα και Συστήματα,5.0,4,Υ
6,Αλγόριθμοι Βελτιστοποίησης,5.0,3,ΥΕ
6,Αλγόριθμοι Βιοπληροφορικής,5.0,3,Ε
6,Αρχιτεκτονική Υπολογιστών,5.0,3,Ε
6,Εκπαιδευτική Καινοτομία και Ανάπτυξη Εφαρμογών,5.0,4,Ε
6,Ενσωματωμένα Συστήματα,5.0,3,ΥΕ
6,Κρυπτογραφία,5.0,3,ΥΕ
6,Πρωτόκολλα και Αρχιτεκτονικές Διαδικτύου,5.0,3,ΥΕ
6,Τεχνολογία Λογισμικού II,5.0,3,ΥΕ
6,Ψηφιακή Επεξεργασία Εικόνας,5.0,3,ΥΕ
6,Ψηφιακή Επεξεργασία Σήματος,5.0,4,Ε
6,Νευρωνικά Δίκτυα,5.0,3,Ε
6,Εισαγωγή στη Ρομποτική,5.0,3,ΥΕ
6,Αρχιτεκτονική Νεφών και Πλεγμάτων Υπολογιστών,5.0,3,Ε
7,Ασύρματα Δίκτυα και Κινητές Επικοινωνίες,5.0,3,Ε
7,Ασφάλεια Πληροφοριών και Ιδιωτικότητα,5.0,3,ΥΕ
7,Αυτόνομα Κινούμενα Ρομπότ και Εφαρμογές,5.0,3,ΥΕ
7,Ειδικά Θέματα Βάσεων Δεδομένων,5.0,3,Ε
7,Εισαγωγή στην Τεχνητή Όραση,5.0,3,ΥΕ
7,Παράλληλος και Κατανεμημένος Υπολογισμός,5.0,4,ΥΕ
7,Προγραμματισμός του Παγκόσμιου Ιστού,5.0,4,Ε
7,Πτυχιακή Εργασία,10.0,,Υ
7,Γραφικά Υπολογιστών,5.0,3,Ε
7,Κατανεμημένα Συστήματα και Μεγάλα Δεδομένα,5.0,3,Ε
8,Ανάπτυξη Προηγμένων Εφαρμογών Κινητών Συσκευών,5.0,4,ΥΕ
8,Κυβερνοασφάλεια,5.0,3,ΥΕ
8,Λογική και Λογικός Προγραμματισμός,5.0,4,Ε
8,Πρακτική άσκηση,10.0,,Ε
8,Πρακτική Άσκηση για την Απόκτηση Διδακτικής Επάρκειας,5.0,,Υ
8,Συστήματα VLSI,5.0,3,ΥΕ
8,Σχεδίαση Εκπαιδευτικού Ψηφιακού Υλικού,5.0,4,ΥΕ
8,Σχεδιαστικά Πρότυπα,5.0,3,ΥΕ
8,Τεχνολογίες του Διαδικτύου των Πραγμάτων,5.0,3,Ε
8,Υπολογισμός Υψηλής Επίδοσης,5.0,4,ΥΕ
